Geneid	SRR14267546	SRR14267547	SRR14267548	SRR14267549	SRR14267550	SRR14267551	SRR14267552	SRR14267553	SRR14267554	SRR14267555	SRR14267556	SRR14267557	SRR14267558	SRR14267559	SRR14267560	SRR14267561	SRR14267562	SRR14267563	SRR14267564	SRR14267565	SRR14267566
DDX11L1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	25	145	65	48	100	94	97	41	65	67	69	70	90	59	60	67	26	8	67	174	135
MIR6859-1	0	23	15	5	31	6	8	2	4	34	21	12	2	4	6	3	0	2	0	26	38
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	0	0	0	1	0	2	0	4	1	10	4	1	1	2	87	5	0	3	0	11	1
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.7	26	86	13	31	10	72	61	10	6	92	120	48	8	11	230	33	0	2	24	40	5
AL627309.8	14	32	45	6	48	67	49	16	0	64	120	85	16	9	154	59	0	3	27	0	9
AL627309.2	0	0	2	1	0	0	0	0	0	0	1	5	0	0	0	3	0	0	0	0	0
AL627309.5	10	14	5	31	31	31	36	14	5	14	35	26	27	7	55	33	2	9	0	4	21
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.2	0	0	0	13	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0
FO538757.1	98	46	151	82	196	73	217	24	76	53	141	38	78	91	70	154	48	17	89	126	187
MIR6859-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AP006222.1	43	41	53	7	53	13	39	23	23	17	19	51	68	65	70	19	8	1	37	90	76
RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.2	45	60	43	40	53	129	91	31	41	169	152	68	40	29	190	64	11	17	26	34	34
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL732372.3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	2	0	0	0
U6	7	12	8	7	14	15	0	5	13	7	13	16	9	17	0	6	7	3	16	12	3
AL669831.3	2	27	7	6	0	9	4	8	16	1	8	5	0	4	4	1	1	3	5	23	4
AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	0	233	0	0	3	0	1	102	0	0	55	0	0	0	0	0	0	0	487	0	0
MTND2P28	5521	1150	2245	902	2395	1669	2724	493	406	0	519	684	2547	1799	105	6480	1393	1038	5959	585	586
MTCO1P12	2715	43155	787	653	1944	848	1340	349	170	203	342	573	507	482	42	861	638	304	1716	1869	411
MIR6723	4	1173	0	4	1	0	0	1	0	0	0	0	1	1	0	3	2	0	7	0	2
MTCO2P12	4	16	13	2	17	7	14	0	2	1	1	0	0	2	0	4	2	3	47	0	8
MTATP8P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTATP6P1	5423	5374	6550	2897	17889	6812	13160	1934	691	1	1876	1878	2546	3238	499	18957	3443	8057	24925	4484	2285
MTCO3P12	8	7	11	7	18	10	19	0	1	2	1	7	5	5	0	10	3	7	19	8	3
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.1	238	224	192	202	248	189	247	132	190	179	188	197	172	143	123	171	57	30	89	197	169
RNU6-1199P	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	1	0	0	0	0
AL669831.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	38	38	44	35	57	35	31	17	18	30	13	49	41	14	16	34	21	15	47	37	48
AL669831.4	26	14	25	13	36	38	81	9	17	18	18	24	36	11	17	5	7	4	8	22	31
FAM87B	0	0	5	0	0	9	0	0	3	1	4	4	0	3	0	0	0	0	13	2	0
LINC01128	98	110	104	129	119	189	135	88	98	141	147	127	141	74	287	99	71	13	100	199	244
LINC00115	62	46	62	24	86	83	128	35	33	53	48	35	71	26	110	64	2	24	70	94	74
FAM41C	0	0	0	0	68	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7
TUBB8P11	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL669831.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AL645608.3	0	5	0	0	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AL645608.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.1	0	3	0	7	4	2	0	0	0	2	5	3	10	16	8	0	0	0	10	10	0
SAMD11	20	8	1	13	1	1	2	9	13	0	0	0	1	14	0	0	0	1	0	5	0
NOC2L	939	728	1000	650	1022	906	1379	624	838	744	746	1028	1314	845	636	689	339	158	964	975	1259
KLHL17	108	186	264	123	171	177	204	105	156	121	207	162	230	150	129	157	44	36	209	301	147
PLEKHN1	53	190	261	534	80	118	122	65	123	64	306	95	224	113	174	106	34	37	206	338	85
PERM1	18	23	3	2	2	70	16	8	26	60	7	24	14	73	371	27	2	2	46	9	17
AL645608.8	164	339	172	315	51	818	166	159	251	302	351	122	114	206	646	239	54	81	234	65	102
HES4	707	537	376	780	216	1422	388	360	412	514	814	348	482	297	848	380	54	159	204	348	314
ISG15	3328	1954	8604	26203	169	6317	305	2695	2550	166	6204	340	8504	1529	417	441	1900	1482	3615	3020	792
AL645608.4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.2	0	0	2	0	0	10	0	0	1	0	1	0	0	0	6	0	0	0	0	6	0
AGRN	6013	6298	8633	10361	5439	6033	6425	4308	10486	4455	6605	4825	9392	8338	4787	4150	4670	2339	8578	12316	7944
AL645608.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.1	7	71	8	35	10	71	32	21	45	62	103	21	40	71	176	29	17	16	45	50	50
AL645608.9	5	0	2	0	0	17	5	0	0	2	8	2	7	0	7	0	0	0	0	0	0
RNF223	18	404	61	81	47	127	138	23	394	72	140	312	326	269	208	216	55	36	244	189	321
C1orf159	494	461	582	336	540	418	641	321	517	317	457	410	581	374	143	412	199	111	481	647	522
LINC01342	7	3	6	0	25	1	0	0	2	1	14	4	9	3	4	9	1	0	0	22	0
MIR200B	133	76	94	42	72	41	86	32	65	44	77	44	84	51	21	55	35	14	74	178	92
MIR200A	67	48	52	14	106	39	43	23	55	48	74	72	57	43	16	23	27	7	118	134	73
MIR429	147	42	66	31	118	73	145	45	52	34	73	38	44	18	25	45	58	42	156	113	82
AL390719.2	373	243	442	217	569	250	656	143	260	274	488	330	333	190	88	268	136	79	530	974	485
TTLL10-AS1	2	4	9	19	16	6	16	17	2	9	10	7	2	14	0	11	6	0	12	24	18
TTLL10	4425	1794	3717	2366	4206	1815	1818	1279	1610	662	1457	2366	2475	2665	347	2039	1998	631	3035	823	1098
TNFRSF18	80	128	169	89	163	217	196	250	98	77	281	172	126	45	39	47	16	10	115	344	113
TNFRSF4	7	28	65	55	14	149	4	74	9	54	162	10	4	30	33	3	1	0	3	5	5
SDF4	1236	1256	1649	1203	1635	1504	1946	788	1306	1457	1689	1368	1712	1389	1357	1036	558	193	1352	1755	1937
B3GALT6	198	205	266	79	249	256	190	84	200	227	170	191	183	217	127	116	84	19	240	183	321
C1QTNF12	15	26	10	33	11	26	4	7	11	43	12	3	16	37	60	33	4	1	0	23	18
AL162741.1	8	9	11	4	7	22	5	2	7	13	10	13	12	4	25	28	2	4	6	7	37
UBE2J2	458	576	545	431	525	524	623	287	357	505	575	435	585	460	576	444	195	93	513	615	578
LINC01786	4	7	21	1	84	21	21	6	2	15	13	11	16	14	3	9	0	3	0	10	18
SCNN1D	76	95	124	59	181	82	143	23	79	91	85	142	126	100	45	133	61	28	189	93	177
ACAP3	1437	1345	1517	735	1559	1201	1904	546	1374	1230	1286	1391	1419	1389	749	1582	600	277	1420	2383	1801
