baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
WASH7P	67.2035294727852	0.0400726911264428	0.297837708072338	0.134545391803479	0.8929713198939	0.977000785202839
MIR6859-1	9.85363913106155	0.108339824095872	0.775605992814377	0.139684098755798	0.888909590576334	0.976694932251932
AL627309.7	42.7035562113906	-0.0415257600140538	0.763503857307147	-0.0543884089341916	0.95662571351734	0.989649364161265
AL627309.8	36.5452604081247	-0.197763360490746	0.829420761371094	-0.238435507888456	0.811543330109947	0.958130443223212
AL627309.5	19.4092747377367	-0.193437632668519	0.618470104076094	-0.31276795983128	0.754456959304601	0.942252022550243
FO538757.1	87.8637963191925	-0.268718450870349	0.318902276454434	-0.842635724830722	0.399432204687118	0.801666159189412
AP006222.1	34.4666106589739	-0.588132238152993	0.445170196039846	-1.32114019173995	0.18645462392566	0.625130594973608
AL732372.2	62.6923056544203	-0.147521697254107	0.47205650987256	-0.312508553888883	0.754654063299996	0.942252022550243
U6	8.84241619758034	0.123483013884949	0.550158014404064	0.22445008643327	0.822407101334879	0.961265337886951
AL669831.3	6.66828098354875	1.44536826344384	0.700263494121516	2.06403486055925	0.0390144112423726	0.325922849606813
MTND1P23	42.3647928204525	1.19172553188067	3.19510207024909	0.372985120875266	0.709159518027634	0.92734785351259
MTND2P28	1900.08041732462	-1.47234590391331	0.80231505092336	-1.83512187914066	0.0664876328034515	0.409356000463815
MTCO2P12	6.37191420894658	-0.529153929716567	1.00978804168791	-0.524024753582998	0.600261323084628	0.894301216419709
MTATP6P1	7120.00303374923	-1.59764933321819	0.850975719986954	-1.87743233525239	0.060458863178159	0.397132439360586
MTCO3P12	7.38181175583765	-1.09148262106473	0.681742225548777	-1.60101953518593	0.109372592425378	0.509084494450733
AL669831.1	157.565618839852	0.284767310066571	0.178934730915933	1.59145912372015	0.111506287621886	0.512585627013226
AL669831.5	31.4889580187791	-0.352175833843385	0.299611912760858	-1.17544002372323	0.239818718920389	0.685070759905016
AL669831.4	18.9552145641009	-0.500974352286233	0.3802125373837	-1.31761660394871	0.187632024471969	0.625726980693218
LINC01128	121.240683477006	-0.20466208060971	0.296559253095698	-0.690122053091586	0.490117435869065	0.849413769008084
LINC00115	55.4427666423939	-0.652343873014676	0.374023370090597	-1.7441259696063	0.0811371265689464	0.44892680773966
SAMD11	4.34546471104178	1.41575046868901	1.19156716024696	1.18814156341434	0.234777641691067	0.679114677049659
NOC2L	776.820203835555	-0.121857277431797	0.122222150270072	-0.997014675020291	0.318757386839318	0.751480804400591
KLHL17	148.703547649431	0.161089989525741	0.202239594435003	0.796530422125191	0.425723800350936	0.819797843679006
PLEKHN1	149.878302756137	0.951368154675471	0.391983017245531	2.42706472683624	0.0152215399054098	0.207007066978493
